transaction_date,posting_date,description,merchant_category,type,amount
2026-05-21,2026-05-22,UNITED AIRLINES 0162 ORD-SFO,Travel/Airlines,Sale,344.20
2026-05-22,2026-05-24,THE RITZ-CARLTON SAN FRANCISCO,Travel/Lodging,Sale,648.89
2026-05-22,2026-05-23,NETFLIX.COM PREMIUM,Digital Subscriptions,Sale,24.99
2026-05-23,2026-05-24,DISNEY PLUS BUNDLE,Digital Subscriptions,Sale,21.99
2026-05-23,2026-05-25,HERTZ RENTAL SFO,Travel/Lodging,Sale,228.44
2026-05-24,2026-05-26,QUINCE SF DEGUSTATION,Restaurants,Sale,318.00
2026-05-25,2026-05-26,BLUE BOTTLE COFFEE SF,Coffee Shops,Sale,11.25
2026-05-26,2026-05-27,UBER *TRIP SAN FRANCISCO,Rideshare,Sale,41.20
2026-05-27,2026-05-28,APPLE TV PLUS,Digital Subscriptions,Sale,9.99
2026-05-28,2026-05-29,MAX (HBO) AD-FREE,Digital Subscriptions,Sale,20.99
2026-05-29,2026-05-31,AUDIBLE MEMBERSHIP,Digital Subscriptions,Sale,14.95
2026-06-02,2026-06-03,AMERICAN AIR 0012 ORD-JFK,Travel/Airlines,Sale,341.20
2026-06-08,2026-06-09,DELTA AIR 0044 ORD-SEA,Travel/Airlines,Sale,158.00
2026-06-14,2026-06-15,FOUR SEASONS CHICAGO DINING,Restaurants,Sale,186.30
2026-06-16,2026-06-17,PARAMOUNT PLUS,Digital Subscriptions,Sale,12.99
2026-06-19,2026-06-20,CAVA WEST LOOP,Restaurants,Sale,16.75
2026-06-18,2026-06-18,PAYMENT - THANK YOU / LAKESHORE ...4417,Payment,Payment,-2500.00
